"id","sex","y_bin_qtl_snp","y_bin_qtl_mh","tbv_qtl_snp","tbv_qtl_mh"
"IND083","M",0,0,0.341445560121279,0.0141911198717623
"IND084","M",0,1,-0.350352835083045,1.0287186687526
"IND085","F",0,0,-0.649962007092531,-1.13253314005167
"IND086","M",1,1,1.88074882460821,-0.0621464821463788
"IND087","F",1,0,0.0491507040719348,0.824447465851749
"IND088","M",1,1,-0.106555770006346,0.139143532186178
"IND089","M",1,1,1.43274749448058,0.825605172541557
"IND090","M",1,1,1.88074882460821,0.890361130710966
"IND091","F",0,1,-1.74126394145184,0.251182585338781
"IND092","F",1,1,-0.79835416521067,1.18812562611924
"IND093","M",0,1,-1.49746687637514,1.18830330105581
"IND094","F",1,1,0.585242625197978,0.183933538853189
"IND095","M",0,0,-0.350352835083045,0.185091245542996
"IND096","M",1,1,0.341445560121279,1.18812562611924
"IND097","F",0,0,-0.79835416521067,0.0974381501568251
"IND098","F",1,0,-0.357667151043187,0.172618045485159
"IND099","F",0,1,-0.357667151043187,0.195515182701921
"IND100","F",1,1,-0.79835416521067,1.17787936389688
