individual_id,family_id,population_type,sire,dam,generation
IND00124,F041,reference,IND00087,IND00075,3
IND00125,F002,reference,IND00002,IND00093,3
IND00126,F008,reference,IND00008,IND00071,3
IND00127,F023,reference,IND00023,IND00020,3
IND00128,F042,reference,IND00115,IND00064,3
IND00129,F035,reference,IND00035,IND00045,3
IND00130,F047,reference,IND00047,IND00007,3
IND00131,F046,reference,IND00046,IND00098,3
IND00132,F027,reference,IND00027,IND00057,3
IND00133,F043,reference,IND00043,IND00027,3
IND00134,F004,reference,IND00064,IND00051,3
IND00135,F013,reference,IND00051,IND00103,3
IND00136,F009,reference,IND00091,IND00020,3
IND00137,F012,reference,IND00065,IND00054,3
IND00138,F028,reference,IND00028,IND00015,3
IND00139,F006,reference,IND00123,IND00060,3
IND00140,F009,reference,IND00136,IND00024,3
IND00141,F027,reference,IND00118,IND00110,3
IND00142,F013,reference,IND00051,IND00138,3
IND00143,F009,reference,IND00117,IND00054,3
IND00144,F037,reference,IND00107,IND00138,3
IND00145,F008,reference,IND00008,IND00142,3
IND00146,F029,reference,IND00068,IND00033,3
IND00147,F004,reference,IND00134,IND00097,3
IND00148,F043,reference,IND00060,IND00024,3
IND00149,F023,reference,IND00106,IND00010,3
IND00150,F023,reference,IND00104,IND00137,3
IND00151,F004,reference,IND00095,IND00105,4
IND00152,F027,reference,IND00118,IND00090,4
IND00153,F044,reference,IND00113,IND00024,4
IND00154,F049,reference,IND00080,IND00070,4
IND00155,F037,reference,IND00144,IND00091,4
IND00156,F013,reference,IND00013,IND00120,4
IND00157,F049,reference,IND00122,IND00004,4
IND00158,F013,reference,IND00051,IND00062,4
IND00159,F010,reference,IND00010,IND00065,4
IND00160,F021,reference,IND00089,IND00147,4
IND00161,F040,reference,IND00040,IND00063,4
IND00162,F026,reference,IND00082,IND00104,4
IND00163,F023,reference,IND00106,IND00077,4
IND00164,F026,reference,IND00082,IND00121,4
IND00165,F029,reference,IND00029,IND00088,4
IND00166,F002,reference,IND00002,IND00079,4
IND00167,F049,reference,IND00157,IND00014,4
IND00168,F009,reference,IND00009,IND00035,4
IND00169,F042,reference,IND00090,IND00061,4
IND00170,F049,reference,IND00122,IND00132,4
IND00171,F037,reference,IND00062,IND00045,4
IND00172,F033,reference,IND00105,IND00064,4
IND00173,F032,reference,IND00109,IND00010,4
IND00174,F033,reference,IND00094,IND00041,4
IND00175,F032,reference,IND00109,IND00082,4
IND00176,F012,reference,IND00012,IND00100,4
IND00177,F046,reference,IND00103,IND00001,4
IND00178,F025,reference,IND00058,IND00123,4
IND00179,F001,reference,IND00001,IND00167,4
IND00180,F049,reference,IND00049,IND00041,4
IND00181,F044,reference,IND00098,IND00155,4
IND00182,F025,reference,IND00025,IND00159,4
IND00183,F023,reference,IND00149,IND00009,4
IND00184,F049,reference,IND00122,IND00135,4
IND00185,F046,reference,IND00079,IND00154,4
IND00186,F005,reference,IND00005,IND00182,4
IND00187,F009,reference,IND00168,IND00117,4
IND00188,F043,reference,IND00101,IND00101,4
IND00189,F004,reference,IND00064,IND00101,4
IND00190,F006,reference,IND00123,IND00128,4
IND00191,F046,reference,IND00131,IND00037,4
IND00192,F037,reference,IND00155,IND00144,4
IND00193,F019,reference,IND00019,IND00093,4
IND00194,F003,reference,IND00003,IND00094,4
IND00195,F037,reference,IND00192,IND00150,4
IND00196,F037,reference,IND00195,IND00194,4
IND00197,F042,reference,IND00042,IND00115,4
IND00198,F012,reference,IND00012,IND00020,4
IND00199,F026,reference,IND00162,IND00054,4
IND00200,F041,reference,IND00071,IND00163,4
