individual_id,family_id,population_type,sire,dam,generation
IND00133,F026,reference,IND00125,IND00091,1
IND00134,F006,reference,IND00006,IND00024,1
IND00135,F020,reference,IND00113,IND00021,1
IND00136,F058,reference,IND00058,IND00006,1
IND00137,F007,reference,IND00007,IND00057,1
IND00138,F044,reference,IND00044,IND00094,1
IND00139,F066,reference,IND00066,IND00035,1
IND00140,F024,reference,IND00024,IND00126,1
IND00141,F090,reference,IND00090,IND00108,1
IND00142,F064,reference,IND00064,IND00078,1
IND00143,F051,reference,IND00051,IND00082,1
IND00144,F096,reference,IND00132,IND00109,1
IND00145,F032,reference,IND00032,IND00092,1
IND00146,F020,reference,IND00113,IND00123,1
IND00147,F024,reference,IND00024,IND00048,1
IND00148,F058,reference,IND00136,IND00074,1
IND00149,F016,reference,IND00101,IND00052,1
IND00150,F002,reference,IND00002,IND00140,1
IND00151,F029,reference,IND00029,IND00024,1
IND00152,F023,reference,IND00023,IND00055,1
IND00153,F042,reference,IND00042,IND00052,1
IND00154,F091,reference,IND00124,IND00030,1
IND00155,F085,reference,IND00085,IND00133,1
IND00156,F074,reference,IND00074,IND00085,1
IND00157,F024,reference,IND00024,IND00059,1
IND00158,F082,reference,IND00082,IND00112,1
IND00159,F005,reference,IND00005,IND00041,1
IND00160,F069,reference,IND00069,IND00076,1
IND00161,F083,reference,IND00083,IND00044,1
IND00162,F069,reference,IND00160,IND00087,1
IND00163,F064,reference,IND00142,IND00002,1
IND00164,F075,reference,IND00075,IND00092,1
IND00165,F025,reference,IND00025,IND00049,1
IND00166,F044,reference,IND00138,IND00105,1
IND00167,F029,reference,IND00114,IND00148,1
IND00168,F064,reference,IND00142,IND00005,1
IND00169,F071,reference,IND00071,IND00122,1
IND00170,F033,reference,IND00033,IND00015,1
IND00171,F093,reference,IND00093,IND00063,1
IND00172,F034,reference,IND00034,IND00171,1
IND00173,F036,reference,IND00036,IND00116,1
IND00174,F029,reference,IND00151,IND00005,1
IND00175,F020,reference,IND00020,IND00097,1
IND00176,F031,reference,IND00031,IND00046,1
IND00177,F067,reference,IND00067,IND00090,1
IND00178,F092,reference,IND00092,IND00170,1
IND00179,F073,reference,IND00073,IND00111,1
IND00180,F080,reference,IND00080,IND00086,1
IND00181,F011,reference,IND00011,IND00015,1
IND00182,F069,reference,IND00069,IND00143,1
IND00183,F016,reference,IND00101,IND00175,1
IND00184,F064,reference,IND00168,IND00043,1
IND00185,F005,reference,IND00005,IND00076,1
IND00186,F050,reference,IND00050,IND00088,1
IND00187,F063,reference,IND00063,IND00086,1
IND00188,F069,reference,IND00069,IND00011,1
IND00189,F081,reference,IND00081,IND00102,1
IND00190,F047,reference,IND00047,IND00138,1
IND00191,F026,reference,IND00026,IND00073,1
IND00192,F024,reference,IND00140,IND00162,1
IND00193,F007,reference,IND00007,IND00185,1
IND00194,F022,reference,IND00022,IND00011,1
IND00195,F036,reference,IND00036,IND00057,1
IND00196,F085,reference,IND00155,IND00030,1
IND00197,F050,reference,IND00050,IND00194,1
IND00198,F082,reference,IND00082,IND00158,1
IND00199,F036,reference,IND00036,IND00124,1
IND00200,F057,reference,IND00057,IND00078,1
IND00201,F029,reference,IND00167,IND00118,1
IND00202,F053,reference,IND00053,IND00127,1
IND00203,F075,reference,IND00075,IND00180,1
IND00204,F067,reference,IND00067,IND00123,1
IND00205,F026,reference,IND00026,IND00066,1
IND00206,F014,reference,IND00014,IND00130,1
IND00207,F064,reference,IND00142,IND00120,1
IND00208,F081,reference,IND00081,IND00175,1
IND00209,F029,reference,IND00174,IND00150,1
IND00210,F023,reference,IND00152,IND00096,1
IND00211,F069,reference,IND00182,IND00031,1
IND00212,F044,reference,IND00110,IND00121,1
IND00213,F078,reference,IND00078,IND00106,1
IND00214,F074,reference,IND00156,IND00182,1
IND00215,F070,reference,IND00070,IND00195,1
IND00216,F014,reference,IND00206,IND00173,1
IND00217,F095,reference,IND00127,IND00048,1
IND00218,F085,reference,IND00085,IND00121,1
IND00219,F085,reference,IND00085,IND00070,1
IND00220,F074,reference,IND00156,IND00083,1
IND00221,F069,reference,IND00188,IND00212,1
IND00222,F069,reference,IND00221,IND00196,1
IND00223,F005,reference,IND00185,IND00138,1
IND00224,F084,reference,IND00084,IND00205,1
IND00225,F025,reference,IND00165,IND00055,1
IND00226,F085,reference,IND00219,IND00141,1
IND00227,F032,reference,IND00145,IND00127,1
IND00228,F020,reference,IND00020,IND00137,1
IND00229,F085,reference,IND00226,IND00160,1
IND00230,F025,reference,IND00165,IND00206,1
IND00231,F057,reference,IND00057,IND00105,1
IND00232,F016,reference,IND00101,IND00173,1
IND00233,F050,reference,IND00186,IND00010,1
IND00234,F084,reference,IND00084,IND00131,1
IND00235,F060,reference,IND00060,IND00168,1
IND00236,F036,reference,IND00199,IND00139,1
IND00237,F053,reference,IND00053,IND00120,1
IND00238,F020,reference,IND00135,IND00221,1
IND00239,F005,reference,IND00159,IND00163,1
IND00240,F092,reference,IND00092,IND00071,1
IND00241,F017,reference,IND00017,IND00017,1
IND00242,F088,reference,IND00126,IND00228,1
IND00243,F037,reference,IND00037,IND00071,1
IND00244,F044,reference,IND00212,IND00079,1
IND00245,F024,reference,IND00024,IND00167,1
IND00246,F041,reference,IND00041,IND00082,1
IND00247,F081,reference,IND00208,IND00195,1
IND00248,F039,reference,IND00039,IND00158,1
IND00249,F066,reference,IND00139,IND00032,1
IND00250,F026,reference,IND00133,IND00021,1
IND00251,F057,reference,IND00231,IND00172,2
IND00252,F091,reference,IND00154,IND00069,2
IND00253,F020,reference,IND00020,IND00174,2
IND00254,F046,reference,IND00111,IND00044,2
IND00255,F069,reference,IND00069,IND00123,2
IND00256,F057,reference,IND00200,IND00061,2
IND00257,F049,reference,IND00049,IND00142,2
IND00258,F083,reference,IND00083,IND00123,2
IND00259,F023,reference,IND00116,IND00224,2
IND00260,F023,reference,IND00259,IND00129,2
IND00261,F023,reference,IND00152,IND00157,2
IND00262,F032,reference,IND00032,IND00194,2
IND00263,F020,reference,IND00020,IND00191,2
IND00264,F025,reference,IND00230,IND00085,2
IND00265,F035,reference,IND00035,IND00264,2
IND00266,F020,reference,IND00135,IND00221,2
IND00267,F054,reference,IND00054,IND00170,2
IND00268,F024,reference,IND00140,IND00096,2
IND00269,F083,reference,IND00258,IND00255,2
IND00270,F025,reference,IND00025,IND00146,2
IND00271,F040,reference,IND00040,IND00045,2
IND00272,F029,reference,IND00201,IND00157,2
IND00273,F096,reference,IND00132,IND00012,2
IND00274,F049,reference,IND00121,IND00138,2
IND00275,F014,reference,IND00014,IND00140,2
IND00276,F088,reference,IND00126,IND00118,2
IND00277,F041,reference,IND00246,IND00276,2
IND00278,F096,reference,IND00273,IND00267,2
IND00279,F044,reference,IND00044,IND00227,2
IND00280,F004,reference,IND00004,IND00063,2
IND00281,F050,reference,IND00197,IND00233,2
IND00282,F091,reference,IND00091,IND00241,2
IND00283,F083,reference,IND00258,IND00100,2
IND00284,F022,reference,IND00022,IND00181,2
IND00285,F024,reference,IND00024,IND00178,2
IND00286,F076,reference,IND00076,IND00261,2
IND00287,F069,reference,IND00255,IND00176,2
IND00288,F044,reference,IND00166,IND00152,2
IND00289,F031,reference,IND00102,IND00093,2
IND00290,F053,reference,IND00202,IND00232,2
IND00291,F097,reference,IND00097,IND00177,2
IND00292,F034,reference,IND00034,IND00273,2
IND00293,F044,reference,IND00110,IND00014,2
IND00294,F057,reference,IND00231,IND00049,2
IND00295,F025,reference,IND00230,IND00053,2
IND00296,F026,reference,IND00205,IND00250,2
IND00297,F061,reference,IND00061,IND00170,2
IND00298,F024,reference,IND00024,IND00016,2
IND00299,F051,reference,IND00143,IND00211,2
IND00300,F036,reference,IND00173,IND00167,2
IND00301,F022,reference,IND00194,IND00140,2
IND00302,F029,reference,IND00201,IND00052,2
IND00303,F069,reference,IND00287,IND00293,2
IND00304,F014,reference,IND00206,IND00124,2
IND00305,F063,reference,IND00063,IND00211,2
IND00306,F092,reference,IND00240,IND00278,2
IND00307,F018,reference,IND00018,IND00013,2
IND00308,F044,reference,IND00166,IND00122,2
IND00309,F073,reference,IND00179,IND00238,2
IND00310,F073,reference,IND00309,IND00102,2
IND00311,F017,reference,IND00017,IND00099,2
IND00312,F034,reference,IND00172,IND00295,2
IND00313,F039,reference,IND00122,IND00298,2
IND00314,F022,reference,IND00284,IND00193,2
IND00315,F005,reference,IND00185,IND00126,2
IND00316,F020,reference,IND00113,IND00063,2
IND00317,F044,reference,IND00293,IND00163,2
IND00318,F044,reference,IND00244,IND00176,2
IND00319,F016,reference,IND00149,IND00144,2
IND00320,F086,reference,IND00086,IND00273,2
IND00321,F022,reference,IND00284,IND00248,2
IND00322,F051,reference,IND00051,IND00071,2
IND00323,F096,reference,IND00273,IND00203,2
IND00324,F027,reference,IND00027,IND00026,2
IND00325,F088,reference,IND00276,IND00259,2
IND00326,F100,reference,IND00123,IND00076,2
IND00327,F044,reference,IND00166,IND00079,2
IND00328,F036,reference,IND00195,IND00190,2
IND00329,F023,reference,IND00260,IND00145,2
IND00330,F090,reference,IND00090,IND00119,2
IND00331,F081,reference,IND00247,IND00229,2
IND00332,F050,reference,IND00233,IND00193,2
IND00333,F022,reference,IND00194,IND00211,2
IND00334,F096,reference,IND00096,IND00173,2
IND00335,F029,reference,IND00174,IND00218,2
IND00336,F029,reference,IND00167,IND00143,2
IND00337,F083,reference,IND00083,IND00314,2
IND00338,F088,reference,IND00126,IND00168,2
IND00339,F092,reference,IND00306,IND00139,2
IND00340,F067,reference,IND00177,IND00248,2
IND00341,F030,reference,IND00030,IND00001,2
IND00342,F041,reference,IND00277,IND00061,2
IND00343,F032,reference,IND00227,IND00323,2
IND00344,F026,reference,IND00296,IND00138,2
IND00345,F082,reference,IND00158,IND00252,2
IND00346,F086,reference,IND00086,IND00212,2
IND00347,F082,reference,IND00198,IND00243,2
IND00348,F085,reference,IND00085,IND00275,2
IND00349,F002,reference,IND00150,IND00348,2
IND00350,F017,reference,IND00017,IND00146,2
IND00351,F044,reference,IND00212,IND00160,2
IND00352,F044,reference,IND00138,IND00112,2
IND00353,F024,reference,IND00245,IND00284,2
IND00354,F080,reference,IND00180,IND00104,2
IND00355,F036,reference,IND00173,IND00291,2
IND00356,F003,reference,IND00003,IND00155,2
IND00357,F083,reference,IND00337,IND00192,2
IND00358,F023,reference,IND00261,IND00112,2
IND00359,F036,reference,IND00195,IND00316,2
IND00360,F082,reference,IND00198,IND00179,2
IND00361,F036,reference,IND00300,IND00100,2
IND00362,F054,reference,IND00267,IND00038,2
IND00363,F037,reference,IND00115,IND00294,2
IND00364,F016,reference,IND00232,IND00253,2
IND00365,F054,reference,IND00362,IND00287,2
IND00366,F059,reference,IND00059,IND00036,2
IND00367,F081,reference,IND00208,IND00194,2
IND00368,F018,reference,IND00119,IND00358,2
IND00369,F009,reference,IND00009,IND00016,2
IND00370,F085,reference,IND00348,IND00017,2
IND00371,F009,reference,IND00009,IND00155,2
IND00372,F014,reference,IND00206,IND00314,2
IND00373,F023,reference,IND00152,IND00290,2
IND00374,F029,reference,IND00272,IND00336,2
IND00375,F074,reference,IND00156,IND00058,2
IND00376,F033,reference,IND00033,IND00188,2
IND00377,F016,reference,IND00112,IND00330,2
IND00378,F075,reference,IND00203,IND00349,2
IND00379,F007,reference,IND00193,IND00284,2
IND00380,F069,reference,IND00221,IND00240,2
IND00381,F007,reference,IND00379,IND00273,2
IND00382,F075,reference,IND00164,IND00370,2
IND00383,F016,reference,IND00183,IND00213,2
IND00384,F039,reference,IND00122,IND00042,2
IND00385,F020,reference,IND00135,IND00130,2
IND00386,F085,reference,IND00196,IND00241,2
IND00387,F020,reference,IND00385,IND00029,2
IND00388,F007,reference,IND00379,IND00073,2
IND00389,F051,reference,IND00299,IND00180,2
IND00390,F058,reference,IND00136,IND00228,2
IND00391,F002,reference,IND00349,IND00122,2
IND00392,F022,reference,IND00194,IND00288,2
IND00393,F007,reference,IND00007,IND00011,2
IND00394,F081,reference,IND00081,IND00101,2
IND00395,F080,reference,IND00080,IND00322,2
IND00396,F044,reference,IND00318,IND00026,2
IND00397,F070,reference,IND00070,IND00171,2
IND00398,F022,reference,IND00392,IND00154,2
IND00399,F005,reference,IND00185,IND00251,2
IND00400,F029,reference,IND00336,IND00086,2
IND00401,F068,reference,IND00068,IND00377,2
IND00402,F084,reference,IND00224,IND00162,2
IND00403,F069,reference,IND00162,IND00167,2
IND00404,F091,reference,IND00154,IND00252,2
IND00405,F070,reference,IND00070,IND00310,2
IND00406,F018,reference,IND00018,IND00151,2
IND00407,F046,reference,IND00129,IND00046,2
IND00408,F016,reference,IND00377,IND00162,2
IND00409,F026,reference,IND00296,IND00361,2
IND00410,F081,reference,IND00367,IND00335,2
IND00411,F029,reference,IND00336,IND00225,2
IND00412,F060,reference,IND00060,IND00116,2
IND00413,F074,reference,IND00074,IND00358,2
IND00414,F027,reference,IND00324,IND00410,2
IND00415,F036,reference,IND00328,IND00291,2
IND00416,F072,reference,IND00072,IND00355,2
IND00417,F007,reference,IND00007,IND00410,2
IND00418,F064,reference,IND00142,IND00172,2
IND00419,F064,reference,IND00418,IND00333,2
IND00420,F091,reference,IND00124,IND00327,2
IND00421,F027,reference,IND00324,IND00005,2
IND00422,F027,reference,IND00027,IND00378,2
IND00423,F026,reference,IND00409,IND00246,2
IND00424,F088,reference,IND00338,IND00065,2
IND00425,F016,reference,IND00383,IND00167,2
IND00426,F067,reference,IND00067,IND00387,2
IND00427,F064,reference,IND00163,IND00173,2
IND00428,F055,reference,IND00055,IND00378,2
IND00429,F046,reference,IND00129,IND00057,2
IND00430,F018,reference,IND00119,IND00082,2
IND00431,F009,reference,IND00371,IND00317,2
IND00432,F036,reference,IND00036,IND00266,2
IND00433,F083,reference,IND00161,IND00414,2
IND00434,F026,reference,IND00250,IND00289,2
IND00435,F053,reference,IND00237,IND00186,2
IND00436,F055,reference,IND00055,IND00252,2
IND00437,F081,reference,IND00106,IND00270,2
IND00438,F069,reference,IND00403,IND00214,2
IND00439,F076,reference,IND00076,IND00031,2
IND00440,F029,reference,IND00151,IND00226,2
IND00441,F016,reference,IND00377,IND00067,2
IND00442,F069,reference,IND00188,IND00355,2
IND00443,F044,reference,IND00327,IND00236,2
IND00444,F041,reference,IND00041,IND00088,2
IND00445,F029,reference,IND00400,IND00344,2
IND00446,F058,reference,IND00390,IND00141,2
IND00447,F050,reference,IND00197,IND00198,2
IND00448,F044,reference,IND00244,IND00344,2
IND00449,F001,reference,IND00117,IND00281,2
IND00450,F044,reference,IND00352,IND00061,2
IND00451,F031,reference,IND00031,IND00171,2
IND00452,F055,reference,IND00436,IND00408,2
IND00453,F023,reference,IND00210,IND00320,2
IND00454,F013,reference,IND00013,IND00113,2
IND00455,F057,reference,IND00200,IND00341,2
IND00456,F024,reference,IND00140,IND00187,2
IND00457,F018,reference,IND00018,IND00271,2
IND00458,F088,reference,IND00103,IND00427,2
IND00459,F039,reference,IND00248,IND00217,2
IND00460,F073,reference,IND00310,IND00098,2
IND00461,F053,reference,IND00290,IND00412,2
IND00462,F088,reference,IND00088,IND00403,2
IND00463,F096,reference,IND00144,IND00295,2
IND00464,F022,reference,IND00284,IND00085,2
IND00465,F051,reference,IND00322,IND00322,2
IND00466,F016,reference,IND00441,IND00174,2
IND00467,F092,reference,IND00240,IND00231,2
IND00468,F039,reference,IND00248,IND00040,2
IND00469,F085,reference,IND00218,IND00337,2
IND00470,F016,reference,IND00183,IND00021,2
IND00471,F032,reference,IND00227,IND00393,2
IND00472,F026,reference,IND00423,IND00091,2
IND00473,F090,reference,IND00330,IND00333,2
IND00474,F054,reference,IND00365,IND00288,2
IND00475,F026,reference,IND00296,IND00002,2
IND00476,F031,reference,IND00031,IND00312,2
IND00477,F059,reference,IND00059,IND00241,2
IND00478,F087,reference,IND00087,IND00018,2
IND00479,F020,reference,IND00263,IND00262,2
IND00480,F083,reference,IND00269,IND00422,2
IND00481,F036,reference,IND00173,IND00410,2
IND00482,F098,reference,IND00098,IND00119,2
IND00483,F036,reference,IND00036,IND00115,2
IND00484,F026,reference,IND00296,IND00442,2
IND00485,F017,reference,IND00017,IND00028,2
IND00486,F065,reference,IND00065,IND00451,2
IND00487,F025,reference,IND00230,IND00125,2
IND00488,F037,reference,IND00115,IND00064,2
IND00489,F020,reference,IND00020,IND00145,2
IND00490,F025,reference,IND00130,IND00081,2
IND00491,F032,reference,IND00343,IND00467,2
IND00492,F040,reference,IND00271,IND00040,2
IND00493,F088,reference,IND00338,IND00051,2
IND00494,F075,reference,IND00164,IND00197,2
IND00495,F029,reference,IND00201,IND00455,2
IND00496,F049,reference,IND00121,IND00474,2
IND00497,F046,reference,IND00429,IND00374,2
IND00498,F007,reference,IND00137,IND00399,2
IND00499,F088,reference,IND00493,IND00344,2
IND00500,F029,reference,IND00174,IND00356,2
IND00501,F037,reference,IND00115,IND00017,3
IND00502,F030,reference,IND00030,IND00094,3
IND00503,F044,reference,IND00317,IND00199,3
IND00504,F046,reference,IND00120,IND00281,3
IND00505,F096,reference,IND00096,IND00155,3
IND00506,F084,reference,IND00084,IND00371,3
IND00507,F090,reference,IND00473,IND00032,3
IND00508,F017,reference,IND00350,IND00033,3
IND00509,F096,reference,IND00273,IND00199,3
IND00510,F088,reference,IND00325,IND00316,3
IND00511,F046,reference,IND00254,IND00289,3
IND00512,F046,reference,IND00497,IND00411,3
IND00513,F085,reference,IND00469,IND00369,3
IND00514,F097,reference,IND00291,IND00277,3
IND00515,F060,reference,IND00412,IND00169,3
IND00516,F040,reference,IND00271,IND00119,3
IND00517,F091,reference,IND00128,IND00487,3
IND00518,F039,reference,IND00122,IND00441,3
IND00519,F054,reference,IND00054,IND00472,3
IND00520,F044,reference,IND00327,IND00340,3
IND00521,F031,reference,IND00289,IND00253,3
IND00522,F062,reference,IND00062,IND00179,3
IND00523,F007,reference,IND00393,IND00124,3
IND00524,F016,reference,IND00377,IND00043,3
IND00525,F005,reference,IND00159,IND00212,3
IND00526,F091,reference,IND00154,IND00133,3
IND00527,F090,reference,IND00090,IND00217,3
IND00528,F036,reference,IND00173,IND00083,3
IND00529,F042,reference,IND00153,IND00289,3
IND00530,F036,reference,IND00415,IND00226,3
IND00531,F018,reference,IND00119,IND00308,3
IND00532,F022,reference,IND00321,IND00531,3
IND00533,F017,reference,IND00017,IND00334,3
IND00534,F067,reference,IND00426,IND00005,3
IND00535,F085,reference,IND00513,IND00189,3
IND00536,F096,reference,IND00334,IND00164,3
IND00537,F070,reference,IND00405,IND00224,3
IND00538,F096,reference,IND00273,IND00419,3
IND00539,F100,reference,IND00100,IND00293,3
IND00540,F024,reference,IND00024,IND00283,3
IND00541,F064,reference,IND00207,IND00271,3
IND00542,F022,reference,IND00022,IND00124,3
IND00543,F090,reference,IND00527,IND00043,3
IND00544,F075,reference,IND00382,IND00095,3
IND00545,F017,reference,IND00241,IND00036,3
IND00546,F036,reference,IND00483,IND00234,3
IND00547,F024,reference,IND00024,IND00505,3
IND00548,F040,reference,IND00040,IND00486,3
IND00549,F092,reference,IND00240,IND00512,3
IND00550,F016,reference,IND00441,IND00273,3
IND00551,F082,reference,IND00158,IND00528,3
IND00552,F069,reference,IND00438,IND00125,3
IND00553,F022,reference,IND00464,IND00420,3
IND00554,F013,reference,IND00013,IND00015,3
IND00555,F033,reference,IND00376,IND00502,3
IND00556,F090,reference,IND00090,IND00395,3
IND00557,F062,reference,IND00522,IND00303,3
IND00558,F024,reference,IND00285,IND00264,3
IND00559,F073,reference,IND00310,IND00344,3
IND00560,F026,reference,IND00472,IND00035,3
IND00561,F091,reference,IND00154,IND00013,3
IND00562,F090,reference,IND00507,IND00238,3
IND00563,F007,reference,IND00193,IND00272,3
IND00564,F037,reference,IND00363,IND00155,3
IND00565,F071,reference,IND00169,IND00101,3
IND00566,F031,reference,IND00102,IND00148,3
IND00567,F096,reference,IND00538,IND00095,3
IND00568,F041,reference,IND00277,IND00493,3
IND00569,F091,reference,IND00252,IND00180,3
IND00570,F023,reference,IND00259,IND00529,3
IND00571,F088,reference,IND00493,IND00468,3
IND00572,F031,reference,IND00176,IND00383,3
IND00573,F039,reference,IND00518,IND00430,3
IND00574,F085,reference,IND00085,IND00471,3
IND00575,F096,reference,IND00278,IND00052,3
IND00576,F008,reference,IND00008,IND00018,3
IND00577,F036,reference,IND00528,IND00105,3
IND00578,F025,reference,IND00295,IND00378,3
IND00579,F069,reference,IND00069,IND00127,3
IND00580,F057,reference,IND00251,IND00068,3
IND00581,F031,reference,IND00102,IND00243,3
IND00582,F016,reference,IND00470,IND00152,3
IND00583,F091,reference,IND00420,IND00289,3
IND00584,F069,reference,IND00221,IND00445,3
IND00585,F046,reference,IND00407,IND00069,3
IND00586,F026,reference,IND00484,IND00577,3
IND00587,F029,reference,IND00151,IND00421,3
IND00588,F026,reference,IND00296,IND00562,3
IND00589,F057,reference,IND00251,IND00163,3
IND00590,F088,reference,IND00493,IND00276,3
IND00591,F026,reference,IND00296,IND00394,3
IND00592,F030,reference,IND00341,IND00144,3
IND00593,F053,reference,IND00290,IND00539,3
IND00594,F044,reference,IND00288,IND00438,3
IND00595,F078,reference,IND00078,IND00347,3
IND00596,F022,reference,IND00284,IND00301,3
IND00597,F029,reference,IND00029,IND00590,3
IND00598,F072,reference,IND00072,IND00396,3
IND00599,F031,reference,IND00031,IND00391,3
IND00600,F074,reference,IND00375,IND00260,3
IND00601,F023,reference,IND00570,IND00369,3
IND00602,F051,reference,IND00389,IND00179,3
IND00603,F092,reference,IND00467,IND00445,3
IND00604,F016,reference,IND00319,IND00072,3
IND00605,F026,reference,IND00344,IND00421,3
IND00606,F002,reference,IND00002,IND00025,3
IND00607,F007,reference,IND00393,IND00399,3
IND00608,F092,reference,IND00178,IND00222,3
IND00609,F057,reference,IND00256,IND00407,3
IND00610,F100,reference,IND00539,IND00365,3
IND00611,F021,reference,IND00021,IND00043,3
IND00612,F049,reference,IND00049,IND00008,3
IND00613,F018,reference,IND00307,IND00266,3
IND00614,F072,reference,IND00416,IND00020,3
IND00615,F016,reference,IND00425,IND00146,3
IND00616,F039,reference,IND00518,IND00515,3
IND00617,F025,reference,IND00270,IND00207,3
IND00618,F007,reference,IND00417,IND00351,3
IND00619,F004,reference,IND00280,IND00477,3
IND00620,F092,reference,IND00603,IND00025,3
IND00621,F036,reference,IND00036,IND00589,3
IND00622,F078,reference,IND00213,IND00549,3
IND00623,F016,reference,IND00550,IND00421,3
IND00624,F024,reference,IND00285,IND00524,3
