"id","sex","age","y_continuous","y_binary"
"IND0083","M",5,2.5124,1
"IND0084","M",4,-0.5447,0
"IND0085","M",2,2.2446,1
"IND0086","M",1,-0.7931,0
"IND0087","F",4,2.9876,1
"IND0088","F",2,1.0558,1
"IND0089","F",2,2.0935,1
"IND0090","F",5,1.3606,1
"IND0091","M",3,-0.8607,0
"IND0092","F",3,-1.4622,0
"IND0093","F",2,-1.026,0
"IND0094","F",5,-2.5078,0
"IND0095","F",5,0.6283,1
"IND0096","M",2,-1.4217,0
"IND0097","M",2,-0.0196,1
"IND0098","F",1,-0.5064,0
"IND0099","F",5,-3.0455,0
"IND0100","M",2,-2.089,0
"IND0101","F",1,-1.8065,0
"IND0102","F",2,-0.7524,0
"IND0103","F",3,-3.7069,0
"IND0104","M",1,0.6368,1
"IND0105","M",5,0.286,1
"IND0106","M",2,1.0516,1
"IND0107","F",5,-3.9731,0
"IND0108","F",4,-0.713,0
"IND0109","F",5,-2.6246,0
"IND0110","F",4,1.4375,1
"IND0111","F",3,-1.1013,0
"IND0112","M",5,-1.2553,0
"IND0113","M",4,-1.3827,0
"IND0114","M",3,4.1792,1
"IND0115","F",4,-2.2329,0
"IND0116","F",4,3.3722,1
"IND0117","M",3,0.2996,1
"IND0118","M",1,-1.5456,0
"IND0119","M",3,-0.0976,0
"IND0120","M",1,3.1671,1
"IND0121","F",1,2.9882,1
"IND0122","F",3,1.9438,1
"IND0123","M",3,0.1543,1
"IND0124","M",4,2.1661,1
"IND0125","M",4,1.3213,1
"IND0126","F",4,1.0313,1
"IND0127","M",5,0.4295,1
"IND0128","M",4,1.338,1
"IND0129","M",1,-0.1223,0
"IND0130","F",4,-0.2667,0
"IND0131","M",3,-0.9282,0
"IND0132","M",5,-0.6103,0
"IND0133","M",3,0.3258,1
"IND0134","F",5,-0.306,0
"IND0135","M",1,-0.7784,0
"IND0136","F",2,0.9864,1
"IND0137","M",1,-5.0334,0
"IND0138","M",3,2.2095,1
"IND0139","M",5,-1.3199,0
"IND0140","F",1,-3.5015,0
"IND0141","M",4,0.7615,1
"IND0142","M",2,0.6497,1
"IND0143","M",2,-0.6135,0
"IND0144","F",4,2.1334,1
"IND0145","F",1,0.1178,1
"IND0146","F",4,-1.3633,0
"IND0147","F",2,-1.9602,0
"IND0148","M",2,0.5951,1
"IND0149","F",5,0.3102,1
"IND0150","F",5,1.5915,1
"IND0151","M",3,-1.2719,0
"IND0152","F",3,-3.1427,0
"IND0153","F",2,-3.7567,0
"IND0154","M",2,-2.7474,0
"IND0155","F",4,3.1,1
"IND0156","F",5,0.0431,1
"IND0157","F",2,1.5135,1
"IND0158","F",1,-1.1922,0
"IND0159","F",4,-1.3053,0
"IND0160","F",3,-0.6623,0
"IND0161","F",1,-3.6742,0
"IND0162","M",1,0.7384,1
"IND0163","F",3,1.4681,1
"IND0164","F",1,1.1893,1
"IND0165","F",3,-1.4242,0
"IND0166","F",1,0.7044,1
"IND0167","M",2,-4.1981,0
"IND0168","F",1,0.2695,1
"IND0169","M",5,2.058,1
"IND0170","F",2,-0.2612,0
"IND0171","M",1,0.5995,1
"IND0172","F",4,-3.1522,0
"IND0173","M",4,-0.106,0
"IND0174","F",4,3.407,1
"IND0175","F",5,-2.1294,0
"IND0176","M",1,-0.6765,0
"IND0177","M",5,3.5666,1
"IND0178","M",1,0.1126,1
"IND0179","F",3,-0.0713,0
"IND0180","M",4,2.4823,1
"IND0181","M",5,-0.858,0
"IND0182","M",4,-1.8094,0
"IND0183","M",3,0.0871,1
"IND0184","F",2,-1.6663,0
"IND0185","F",3,0.793,1
"IND0186","M",1,2.819,1
"IND0187","M",1,-4.2333,0
"IND0188","M",5,0.1288,1
"IND0189","M",5,1.7638,1
"IND0190","M",2,1.4087,1
"IND0191","M",2,1.4497,1
"IND0192","F",2,-0.1695,0
"IND0193","F",1,1.6568,1
"IND0194","M",2,-1.5489,0
"IND0195","M",5,-0.8935,0
"IND0196","M",3,-0.4637,0
"IND0197","M",2,-0.1991,0
"IND0198","M",2,-1.0795,0
"IND0199","F",1,0.2141,1
"IND0200","F",5,1.624,1
"IND0201","M",5,0.0115,1
"IND0202","F",4,0.3039,1
"IND0203","F",3,-1.6357,0
"IND0204","M",5,2.4389,1
"IND0205","F",5,-0.3211,0
"IND0206","M",1,-0.0625,0
"IND0207","M",2,0.6714,1
"IND0208","M",4,0.1651,1
"IND0209","M",1,-1.4584,0
"IND0210","M",1,-0.5011,0
"IND0211","F",4,-0.4418,0
"IND0212","M",2,0.0455,1
"IND0213","F",4,-0.7635,0
"IND0214","F",2,-0.7235,0
"IND0215","F",2,-2.936,0
"IND0216","M",5,-1.2046,0
"IND0217","M",5,-1.6901,0
"IND0218","M",1,-0.2008,0
"IND0219","M",1,-1.3297,0
"IND0220","M",1,0.1317,1
"IND0221","F",1,0.3336,1
"IND0222","F",4,-0.4048,0
"IND0223","M",5,1.1471,1
"IND0224","F",1,-0.7653,0
"IND0225","F",2,-2.7432,0
"IND0226","M",3,1.2176,1
"IND0227","M",1,2.1411,1
"IND0228","F",2,1.0631,1
"IND0229","F",5,2.1585,1
"IND0230","M",4,1.0379,1
"IND0231","F",4,3.0259,1
"IND0232","M",3,1.1169,1
"IND0233","M",1,-0.3413,0
"IND0234","M",5,1.3882,1
"IND0235","M",3,-0.0432,0
"IND0236","M",5,2.0613,1
"IND0237","F",1,0.0518,1
"IND0238","M",3,0.4434,1
"IND0239","F",3,1.4722,1
"IND0240","M",5,0.6103,1
"IND0241","M",3,0.1176,1
"IND0242","F",3,-1.6583,0
"IND0243","F",3,-3.6764,0
"IND0244","M",5,0.005,1
"IND0245","M",1,-2.5453,0
"IND0246","F",4,1.4967,1
"IND0247","F",5,1.7088,1
"IND0248","F",4,-0.0027,1
"IND0249","F",1,0.485,1
"IND0250","F",3,1.8784,1
"IND0251","F",1,-0.5463,0
"IND0252","M",1,1.8642,1
"IND0253","M",2,-0.8441,0
"IND0254","F",1,-0.1611,0
"IND0255","M",3,3.9244,1
"IND0256","M",3,-1.7678,0
"IND0257","F",2,1.6987,1
"IND0258","M",4,-0.9177,0
"IND0259","F",5,-0.1731,0
"IND0260","M",3,1.5896,1
"IND0261","F",5,-0.3515,0
"IND0262","M",3,-0.7726,0
"IND0263","F",2,-0.0294,1
"IND0264","M",2,-1.2709,0
"IND0265","M",5,-1.037,0
"IND0266","M",3,0.8839,1
"IND0267","F",3,0.7679,1
"IND0268","M",2,0.3145,1
"IND0269","M",5,0.2505,1
"IND0270","M",3,0.5098,1
"IND0271","F",3,-0.1052,0
"IND0272","F",5,2.5933,1
"IND0273","M",5,1.6514,1
"IND0274","M",4,-1.6076,0
"IND0275","M",1,2.4725,1
"IND0276","F",5,0.9279,1
"IND0277","M",4,2.6651,1
"IND0278","M",3,1.7948,1
"IND0279","F",3,0.9121,1
"IND0280","F",5,0.1011,1
"IND0281","M",5,1.091,1
"IND0282","F",2,0.6507,1
"IND0283","M",3,-0.3271,0
"IND0284","F",4,-2.1946,0
"IND0285","F",5,0.3315,1
"IND0286","F",4,-1.1017,0
"IND0287","M",5,1.3959,1
"IND0288","M",5,2.3787,1
"IND0289","F",5,2.1657,1
"IND0290","F",2,0.2576,1
"IND0291","M",2,0.0797,1
"IND0292","F",2,0.679,1
"IND0293","F",1,3.5113,1
"IND0294","F",3,-0.6422,0
"IND0295","F",5,1.7789,1
"IND0296","M",4,-1.9428,0
"IND0297","F",5,-2.9833,0
"IND0298","F",4,0.9481,1
"IND0299","F",5,2.7441,1
"IND0300","M",1,-2.8209,0
"IND0301","F",3,-1.6707,0
"IND0302","M",1,-1.2723,0
"IND0303","F",1,0.719,1
"IND0304","F",2,0.6385,1
"IND0305","M",3,-1.5558,0
"IND0306","M",1,1.195,1
"IND0307","M",1,-0.7487,0
"IND0308","F",2,-0.5609,0
"IND0309","M",4,-0.5009,0
"IND0310","F",5,1.4774,1
"IND0311","F",4,0.7619,1
"IND0312","F",4,-1.2296,0
"IND0313","F",2,-1.4167,0
"IND0314","M",2,-2.2577,0
"IND0315","F",3,1.0821,1
"IND0316","F",3,-1.0123,0
"IND0317","M",3,-0.5666,0
"IND0318","F",3,-0.1525,0
"IND0319","F",3,1.1916,1
"IND0320","F",1,-0.2227,0
"IND0321","F",2,-3.2803,0
"IND0322","F",3,2.6665,1
"IND0323","F",3,1.2797,1
"IND0324","F",3,1.7622,1
"IND0325","F",3,2.3485,1
"IND0326","M",2,-0.3942,0
"IND0327","M",3,0.2349,1
"IND0328","M",4,0.6562,1
"IND0329","M",5,0.0938,1
"IND0330","F",5,-0.4758,0
"IND0331","M",3,-1.5141,0
"IND0332","M",1,-1.1556,0
"IND0333","F",3,0.174,1
"IND0334","F",1,1.6067,1
"IND0335","F",1,2.5399,1
"IND0336","F",3,-0.607,0
"IND0337","M",1,2.3768,1
"IND0338","F",1,-0.8286,0
"IND0339","F",1,-0.4839,0
"IND0340","F",2,-1.8888,0
"IND0341","F",1,0.7004,1
"IND0342","F",3,-0.4,0
"IND0343","F",4,-1.3034,0
"IND0344","F",2,-1.8454,0
"IND0345","F",4,2.6629,1
"IND0346","M",4,1.4283,1
"IND0347","M",1,-0.1923,0
"IND0348","F",3,0.1001,1
"IND0349","F",5,-0.711,0
"IND0350","F",5,0.8813,1
"IND0351","M",4,1.1492,1
"IND0352","F",2,-1.124,0
"IND0353","F",1,-0.6423,0
"IND0354","F",2,-0.5421,0
"IND0355","M",1,2.3723,1
"IND0356","M",1,0.1265,1
"IND0357","M",2,-1.3414,0
"IND0358","F",4,2.191,1
"IND0359","F",3,0.3853,1
"IND0360","M",5,-2.2988,0
"IND0361","F",2,-0.1049,0
"IND0362","M",4,-0.7886,0
"IND0363","M",4,-1.674,0
"IND0364","M",1,-0.9423,0
"IND0365","F",5,-1.9812,0
"IND0366","F",1,4.0358,1
"IND0367","F",1,-0.6575,0
"IND0368","M",4,1.9705,1
"IND0369","F",1,-1.186,0
"IND0370","F",1,0.8022,1
"IND0371","M",1,0.1668,1
"IND0372","F",5,0.6259,1
"IND0373","F",4,1.7175,1
"IND0374","M",5,-2.2284,0
"IND0375","F",1,0.9664,1
"IND0376","F",3,-2.2671,0
"IND0377","M",1,-1.2866,0
"IND0378","M",1,0.5913,1
"IND0379","F",2,-0.6151,0
"IND0380","M",4,-1.3886,0
"IND0381","M",1,-1.7497,0
"IND0382","M",2,-1.782,0
"IND0383","M",4,-1.213,0
"IND0384","M",2,0.7564,1
"IND0385","M",5,-2.8693,0
"IND0386","F",3,0.2989,1
"IND0387","M",1,-0.329,0
"IND0388","M",2,0.2483,1
"IND0389","M",2,0.9096,1
"IND0390","F",4,1.391,1
"IND0391","F",4,1.9494,1
"IND0392","M",5,0.4378,1
"IND0393","F",3,-0.7705,0
"IND0394","F",3,1.2522,1
"IND0395","F",1,1.7715,1
"IND0396","F",4,-0.3496,0
"IND0397","M",3,2.4573,1
"IND0398","M",5,-1.8606,0
"IND0399","F",2,-2.2537,0
"IND0400","F",4,-0.9333,0
"IND0401","F",3,0.0476,1
"IND0402","M",3,1.2259,1
"IND0403","F",3,2.442,1
"IND0404","F",3,-0.4406,0
"IND0405","M",5,-1.8336,0
"IND0406","M",1,0.338,1
"IND0407","F",5,1.5392,1
"IND0408","M",2,-1.8486,0
"IND0409","F",1,-1.9001,0
"IND0410","F",2,-1.9015,0
"IND0411","M",4,-1.2619,0
"IND0412","F",1,0.6904,1
"IND0413","F",3,0.7316,1
"IND0414","F",5,0.5055,1
"IND0415","F",5,-0.3257,0
"IND0416","F",2,-2.0638,0
"IND0417","M",4,4.4377,1
"IND0418","F",5,-1.6645,0
"IND0419","M",2,-0.2833,0
"IND0420","M",2,1.2571,1
"IND0421","F",1,0.6252,1
"IND0422","M",2,1.4807,1
"IND0423","F",3,-0.3623,0
"IND0424","F",5,2.4402,1
"IND0425","M",3,1.3764,1
"IND0426","M",4,-1.0753,0
"IND0427","F",1,-0.9859,0
"IND0428","M",1,0.3384,1
"IND0429","F",2,-2.748,0
"IND0430","M",5,-0.1481,0
"IND0431","F",3,-0.9133,0
"IND0432","M",2,-0.7377,0
"IND0433","F",5,-1.076,0
"IND0434","M",4,-2.1497,0
"IND0435","M",2,-0.1213,0
"IND0436","F",5,0.8023,1
"IND0437","M",4,-0.6778,0
"IND0438","M",5,-1.1012,0
"IND0439","F",2,-0.5985,0
"IND0440","M",1,0.237,1
"IND0441","F",3,-1.6317,0
"IND0442","M",5,-3.4624,0
"IND0443","M",2,-0.277,0
"IND0444","M",1,0.6608,1
"IND0445","F",3,0.0262,1
"IND0446","M",1,-2.4156,0
"IND0447","M",4,1.6333,1
"IND0448","M",3,0.7348,1
"IND0449","F",4,-0.0926,0
"IND0450","M",2,-0.0779,0
"IND0451","F",1,-0.816,0
"IND0452","F",1,1.0718,1
"IND0453","F",4,0.32,1
"IND0454","F",3,-1.6708,0
"IND0455","F",3,0.2207,1
"IND0456","M",3,1.5161,1
"IND0457","M",2,-0.5272,0
"IND0458","M",3,-0.0982,0
"IND0459","M",1,0.3816,1
"IND0460","M",1,2.664,1
"IND0461","F",1,1.3137,1
"IND0462","M",5,-2.5272,0
"IND0463","M",2,-1.4691,0
"IND0464","F",3,-0.5998,0
"IND0465","M",2,-2.3343,0
"IND0466","F",5,2.2713,1
"IND0467","M",1,1.9156,1
"IND0468","F",4,1.749,1
"IND0469","M",5,2.6688,1
"IND0470","F",3,0.1686,1
"IND0471","M",1,1.0696,1
"IND0472","M",3,-0.8459,0
"IND0473","M",4,-1.411,0
"IND0474","M",4,0.5084,1
"IND0475","F",3,0.3483,1
"IND0476","F",5,1.0503,1
"IND0477","M",1,-1.3634,0
"IND0478","F",3,-1.7714,0
"IND0479","M",2,3.6403,1
"IND0480","M",1,0.8112,1
"IND0481","F",4,-1.5239,0
"IND0482","F",5,-0.0311,1
"IND0483","M",2,-0.1234,0
"IND0484","M",4,0.8043,1
"IND0485","M",5,-0.3846,0
"IND0486","F",1,-2.3529,0
"IND0487","F",4,0.4122,1
"IND0488","F",4,1.1029,1
"IND0489","F",2,0.3291,1
"IND0490","F",3,-0.5968,0
"IND0491","M",5,0.282,1
"IND0492","F",1,1.5279,1
"IND0493","F",1,1.9324,1
"IND0494","M",3,-1.1942,0
"IND0495","M",1,-1.8858,0
"IND0496","M",2,-1.1386,0
"IND0497","M",3,0.9773,1
"IND0498","F",5,-2.326,0
"IND0499","F",4,1.0445,1
"IND0500","F",4,-2.0204,0
"IND0501","M",3,0.7616,1
"IND0502","M",4,0.6079,1
"IND0503","M",3,-0.4507,0
"IND0504","M",5,0.0841,1
"IND0505","M",3,-0.9077,0
"IND0506","M",3,1.0498,1
"IND0507","M",2,-2.9797,0
"IND0508","M",4,0.9647,1
"IND0509","M",4,-0.6321,0
"IND0510","M",1,1.0352,1
"IND0511","F",5,3.3368,1
"IND0512","M",4,-0.0766,0
"IND0513","F",1,-0.4176,0
"IND0514","M",1,1.5868,1
"IND0515","F",3,0.1854,1
"IND0516","F",4,0.8439,1
"IND0517","M",2,3.9491,1
"IND0518","F",1,-1.7376,0
"IND0519","F",4,-1.5563,0
"IND0520","M",4,1.2266,1
"IND0521","F",2,0.3442,1
"IND0522","M",5,1.9887,1
"IND0523","F",5,0.1876,1
"IND0524","M",5,-0.7812,0
"IND0525","M",2,-0.4929,0
"IND0526","M",4,1.4474,1
"IND0527","F",3,-1.4811,0
"IND0528","F",3,0.1418,1
"IND0529","F",5,-1.3001,0
"IND0530","M",3,-2.1148,0
"IND0531","M",1,2.6842,1
"IND0532","M",4,0.6063,1
"IND0533","F",3,1.3353,1
"IND0534","M",1,1.1142,1
"IND0535","M",3,-0.8343,0
"IND0536","F",5,-1.2931,0
"IND0537","F",1,0.5243,1
"IND0538","F",4,-0.0499,0
"IND0539","M",3,1.8852,1
"IND0540","F",4,-0.0042,1
"IND0541","F",5,0.0042,1
"IND0542","M",4,0.8301,1
"IND0543","F",2,0.409,1
"IND0544","M",1,1.0772,1
"IND0545","M",3,0.1649,1
"IND0546","F",1,-0.2566,0
"IND0547","M",1,-1.3851,0
"IND0548","M",1,0.8908,1
"IND0549","M",1,0.8165,1
"IND0550","F",1,0.7601,1
"IND0551","M",3,1.1682,1
"IND0552","M",5,0.4866,1
"IND0553","F",3,-1.9563,0
"IND0554","F",3,0.7341,1
"IND0555","M",5,1.1287,1
"IND0556","F",3,-2.0395,0
"IND0557","M",3,-1.7596,0
"IND0558","M",2,-2.2084,0
"IND0559","M",1,-1.2531,0
"IND0560","F",2,-3.5084,0
"IND0561","M",1,-1.628,0
"IND0562","F",2,-0.4004,0
"IND0563","F",2,-0.9489,0
"IND0564","M",3,0.1673,1
"IND0565","F",5,-1.5898,0
"IND0566","M",3,1.0792,1
"IND0567","F",4,-1.4296,0
"IND0568","M",3,-0.0137,1
"IND0569","M",2,0.249,1
"IND0570","M",2,-0.824,0
"IND0571","M",4,-2.808,0
"IND0572","M",2,-1.6342,0
"IND0573","F",3,1.3572,1
"IND0574","F",3,-1.011,0
"IND0575","M",2,-3.5013,0
"IND0576","M",5,4.5997,1
"IND0577","F",3,-4.781,0
"IND0578","F",5,3.3266,1
"IND0579","M",2,-1.8325,0
"IND0580","M",4,0.1453,1
"IND0581","M",1,-1.5781,0
"IND0582","F",3,-3.306,0
"IND0583","F",3,-0.4754,0
"IND0584","F",3,1.4198,1
"IND0585","M",5,0.2093,1
"IND0586","F",4,2.2174,1
"IND0587","M",4,-0.0762,0
"IND0588","F",2,0.233,1
"IND0589","F",2,-0.7428,0
"IND0590","F",4,2.9345,1
"IND0591","F",1,0.1457,1
"IND0592","F",2,-3.2016,0
"IND0593","M",2,1.0628,1
"IND0594","M",1,-1.9261,0
"IND0595","F",1,2.5588,1
"IND0596","M",2,-1.0502,0
"IND0597","M",4,1.3023,1
"IND0598","M",4,-0.6491,0
"IND0599","F",2,-1.3514,0
"IND0600","F",4,-1.9226,0
"IND0601","M",2,-0.4853,0
"IND0602","M",4,-0.2536,0
"IND0603","M",2,-0.1,0
"IND0604","M",1,-0.613,0
"IND0605","F",1,-0.1383,0
"IND0606","M",3,-4.0829,0
"IND0607","F",2,-1.0362,0
"IND0608","F",4,-0.3455,0
"IND0609","F",2,0.4959,1
"IND0610","M",2,-0.3176,0
"IND0611","M",4,-0.3487,0
"IND0612","F",2,0.5462,1
"IND0613","M",3,2.3018,1
"IND0614","M",4,-1.0969,0
"IND0615","F",4,0.0499,1
"IND0616","M",2,-0.1155,0
"IND0617","M",1,0.9703,1
"IND0618","F",3,-1.6352,0
"IND0619","M",2,0.3588,1
"IND0620","M",3,-2.4934,0
"IND0621","M",4,1.4591,1
"IND0622","F",4,0.0795,1
"IND0623","F",4,-4.3501,0
"IND0624","F",3,-0.1621,0
"IND0625","M",3,-1.9512,0
"IND0626","F",3,-1.6205,0
"IND0627","F",1,-0.4252,0
"IND0628","F",2,1.7141,1
"IND0629","F",3,-0.1303,0
"IND0630","M",2,0.3211,1
"IND0631","M",5,-2.9978,0
"IND0632","F",1,-1.685,0
"IND0633","M",1,-0.3698,0
"IND0634","M",3,1.0155,1
"IND0635","M",5,1.1046,1
"IND0636","F",1,-1.8596,0
"IND0637","M",5,-0.7105,0
"IND0638","M",5,-1.4311,0
"IND0639","M",2,-2.2656,0
"IND0640","M",1,-0.6555,0
"IND0641","F",3,-1.7141,0
"IND0642","M",4,0.6927,1
"IND0643","F",1,-0.9566,0
"IND0644","M",2,0.5948,1
"IND0645","F",2,1.2225,1
"IND0646","M",4,-2.2413,0
"IND0647","F",2,2.3437,1
"IND0648","F",4,-1.4161,0
"IND0649","F",4,-1.3275,0
"IND0650","F",2,2.7895,1
"IND0651","F",1,1.1959,1
"IND0652","F",2,0.53,1
"IND0653","M",1,-0.5451,0
"IND0654","F",4,-2.2203,0
"IND0655","M",4,-0.8005,0
"IND0656","F",4,-0.9287,0
"IND0657","M",5,3.6219,1
"IND0658","M",1,0.5733,1
"IND0659","M",4,-0.678,0
"IND0660","F",1,-0.7544,0
"IND0661","F",3,3.6295,1
"IND0662","M",2,-1.0422,0
"IND0663","F",2,-2.414,0
"IND0664","F",1,-0.5363,0
"IND0665","M",3,-1.1449,0
"IND0666","F",2,1.0213,1
"IND0667","M",4,0.0102,1
"IND0668","M",4,-2.4562,0
"IND0669","M",3,-1.4511,0
"IND0670","M",1,0.7003,1
"IND0671","M",1,0.3731,1
"IND0672","F",4,-0.5801,0
"IND0673","M",2,-0.6858,0
"IND0674","F",3,-1.2604,0
"IND0675","M",3,0.5412,1
"IND0676","M",5,0.0609,1
"IND0677","M",4,-2.2457,0
"IND0678","F",4,-1.2572,0
"IND0679","F",1,-0.0729,0
"IND0680","M",4,2.6102,1
"IND0681","F",4,-0.4065,0
"IND0682","F",2,-0.6683,0
"IND0683","F",4,-1.3316,0
"IND0684","M",1,-2.6724,0
"IND0685","M",2,-1.5244,0
"IND0686","F",2,-1.3028,0
"IND0687","M",5,-3.5395,0
"IND0688","M",1,-0.7147,0
"IND0689","F",2,2.1567,1
"IND0690","F",3,0.125,1
"IND0691","M",3,-0.4534,0
"IND0692","F",1,1.0462,1
"IND0693","F",4,-0.6546,0
"IND0694","M",5,1.7605,1
"IND0695","F",2,-1.0263,0
"IND0696","M",3,0.9434,1
"IND0697","M",4,1.3272,1
"IND0698","F",1,2.0072,1
"IND0699","M",1,-0.8599,0
"IND0700","F",1,1.7475,1
"IND0701","M",3,1.7462,1
"IND0702","M",3,0.8201,1
"IND0703","M",5,-0.8913,0
"IND0704","F",4,0.4411,1
"IND0705","F",3,-0.8178,0
"IND0706","M",4,2.0036,1
"IND0707","M",1,-0.7745,0
"IND0708","F",5,-3.1093,0
"IND0709","F",4,-0.6817,0
"IND0710","F",3,-0.342,0
"IND0711","M",4,-0.766,0
"IND0712","M",1,-1.6778,0
"IND0713","M",1,-0.6285,0
"IND0714","M",5,0.6475,1
"IND0715","M",1,-0.4903,0
"IND0716","F",2,0.6282,1
"IND0717","M",4,2.0503,1
"IND0718","M",1,-1.1397,0
"IND0719","F",4,0.4632,1
"IND0720","F",4,-3.5663,0
"IND0721","M",2,0.9219,1
"IND0722","M",4,-1.9786,0
"IND0723","F",3,-2.7766,0
"IND0724","M",5,-0.441,0
"IND0725","M",2,2.1362,1
"IND0726","M",1,-1.3827,0
"IND0727","F",1,-1.1133,0
"IND0728","M",3,0.6863,1
"IND0729","M",3,0.0739,1
"IND0730","M",4,1.3759,1
"IND0731","F",2,-2.8877,0
"IND0732","M",2,-1.583,0
"IND0733","M",1,-1.1521,0
"IND0734","F",1,-0.4121,0
"IND0735","F",5,1.0552,1
"IND0736","M",1,2.3058,1
"IND0737","F",1,1.7745,1
"IND0738","F",2,-0.1565,0
"IND0739","F",1,-0.7295,0
"IND0740","F",5,-1.0565,0
"IND0741","M",3,0.0039,1
"IND0742","M",5,0.9141,1
"IND0743","F",4,-0.05,0
"IND0744","F",5,-1.8329,0
"IND0745","F",2,-1.1777,0
"IND0746","M",4,-0.4388,0
"IND0747","M",3,-0.8236,0
"IND0748","M",4,0.0038,1
"IND0749","M",3,0.0481,1
"IND0750","F",5,2.8014,1
"IND0751","F",5,0.4424,1
"IND0752","M",4,-0.5938,0
"IND0753","F",4,1.6097,1
"IND0754","F",5,-1.1049,0
"IND0755","M",3,0.5582,1
"IND0756","F",4,-2.4811,0
"IND0757","F",2,-0.9226,0
"IND0758","M",2,-0.3062,0
"IND0759","F",1,-0.1366,0
"IND0760","F",4,-1.0993,0
"IND0761","M",1,0.302,1
"IND0762","F",1,1.3049,1
"IND0763","F",3,0.0197,1
"IND0764","F",5,-2.2538,0
"IND0765","M",2,-0.1668,0
"IND0766","F",1,1.2408,1
"IND0767","M",1,-0.348,0
"IND0768","M",4,1.9918,1
"IND0769","M",3,-0.173,0
"IND0770","M",5,-3.1568,0
"IND0771","F",3,0.6458,1
"IND0772","F",3,0.7261,1
"IND0773","M",4,-0.2127,0
"IND0774","F",4,-0.7762,0
"IND0775","F",3,-0.0664,0
"IND0776","F",3,0.8495,1
"IND0777","M",5,0.8659,1
"IND0778","M",4,-0.6918,0
"IND0779","F",3,-0.779,0
"IND0780","M",3,-0.8751,0
"IND0781","F",1,-0.4166,0
"IND0782","F",3,1.2322,1
"IND0783","F",5,1.9922,1
"IND0784","F",2,1.0594,1
"IND0785","F",5,2.8742,1
"IND0786","M",2,-0.6675,0
"IND0787","F",4,0.2706,1
"IND0788","F",3,-1.1542,0
"IND0789","F",2,-1.1376,0
"IND0790","M",1,-1.7644,0
"IND0791","M",1,-0.0485,0
"IND0792","F",2,1.3918,1
"IND0793","M",2,1.8541,1
"IND0794","M",1,2.0968,1
"IND0795","F",2,2.1558,1
"IND0796","M",3,-0.3675,0
"IND0797","F",4,-1.4106,0
"IND0798","F",2,1.6441,1
"IND0799","M",4,1.3104,1
"IND0800","F",3,1.0339,1
"IND0801","M",5,-3.0549,0
"IND0802","M",1,-1.8162,0
